"","_date_collected","_hash_key","_owner_id","_process_id","_provider_name","_record_id","_transfer_id","bred_gap","bred_reason","bred_result","breeding_code","days_in_milk","event_date","event_time_local","event_time_utc","from_pen_id","remark","result","src_event_id","src_protocol","src_tag_id","src_technician_id","src_descr","technician_name","to_pen_id"
"1918","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73e3","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"T",211,"2023-08-04",NA,NA,NA,"829XB69",NA,"BRED",NA,11229,"3",NA,"Walter",NA
"1919","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73e4","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",199,"2023-08-01",NA,NA,NA,"74 DAYS",NA,"OK",NA,11230,NA,NA,NA,NA
"1920","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73e5","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",212,"2023-08-14",NA,NA,NA,"NONE",NA,"FOOTRIM",NA,11230,NA,NA,NA,NA
"1921","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73e6","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",366,"2023-08-14",NA,NA,NA,"NONE",NA,"FOOTRIM",NA,11232,NA,NA,NA,NA
"1922","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73e7","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",369,"2023-08-17",NA,NA,NA,"ABORT?",NA,"CHECK",NA,11232,NA,NA,NA,NA
"1923","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73e8","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",374,"2023-08-22",NA,NA,NA,NA,NA,"DNB",NA,11232,NA,NA,NA,NA
"1924","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73e9","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",374,"2023-08-22",NA,NA,NA,"221 DAYS",NA,"ABORT",NA,11232,NA,NA,NA,NA
"1925","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73ea","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",325,"2023-08-23",NA,NA,NA,"F020T361",NA,"MOVE",NA,11233,NA,NA,NA,NA
"1926","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73eb","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",315,"2023-08-14",NA,NA,NA,"NONE",NA,"FOOTRIM",NA,11235,NA,NA,NA,NA
"1927","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73ec","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",323,"2023-08-22",NA,NA,NA,"ENT",NA,"VACC",NA,11235,NA,NA,NA,NA
